thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],write_latency_rate,write_count,buffer_count,byte_count,txn_latency,log_queue_latency,write_latency,notify_latency,backpressure_latency,wait_depoch_latency,mean_depoch_diff,sdev_depoch_diff,max_depoch_diff,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses
120,8,4,512,2095,40,8,10,0,0,1000000,1,0,31824059,0.0017,135.8159,4.83537e+09,0.982406,1738,93082,40736101168,0.0014,38.9307,0.6916,96.1921,1.8236,,2.73648,0.540425,4,,,
120,8,4,512,2095,40,8,10,0,0,1000000,1,0,31645996,0.0018,136.0215,4.81198e+09,0.984733,1717,92734,40508174848,0.0014,39.0610,0.6905,96.2686,1.8414,,2.75772,0.51278,4,,,
152,8,4,512,2095,40,8,10,0,0,1000000,1,0,32446733,0.0021,157.6393,4.9291e+09,0.981075,1487,100029,41533234496,0.0015,46.7875,0.6844,110.1658,2.5830,,2.87223,0.547675,4,,,
152,8,4,512,2095,40,8,10,0,0,1000000,1,0,32171688,0.0021,162.2151,4.88674e+09,0.979844,1449,98047,41181145456,0.0015,47.7309,0.6837,113.7989,2.6300,,2.82195,0.585307,4,,,
152,8,4,512,2095,40,8,10,0,0,1000000,1,0,32463147,0.0021,158.4673,4.93248e+09,0.982078,1491,100026,41554242416,0.0015,46.8875,0.6880,110.8902,2.5837,,2.88062,0.582029,4,,,
152,8,4,512,2095,40,8,10,0,0,1000000,1,0,32395828,0.0021,156.7176,4.91456e+09,0.980349,1496,100176,41468076256,0.0015,46.7034,0.6873,109.3254,2.5857,,2.90241,0.589627,4,,,
152,8,4,512,2095,40,8,10,0,0,1000000,1,0,32506222,0.0021,155.4306,4.9238e+09,0.981664,1507,100450,41609383504,0.0015,46.6487,0.6870,108.0934,2.5780,,2.87127,0.57794,4,,,
184,8,4,512,2095,40,8,10,0,0,1000000,1,0,32053087,0.0024,182.2375,4.8578e+09,0.977948,1271,102587,41029404624,0.0017,55.8452,0.6796,125.7110,3.4506,,3.08576,0.726144,5,,,
184,8,4,512,2095,40,8,10,0,0,1000000,1,0,32218521,0.0024,181.2902,4.88984e+09,0.979141,1279,103101,41241171760,0.0017,55.6057,0.6786,125.0043,3.4178,,3.07037,0.721711,5,,,
184,8,4,512,2095,40,8,10,0,0,1000000,1,0,31997136,0.0024,179.8510,4.85319e+09,0.977466,1280,102753,40957793936,0.0017,55.7208,0.6765,123.4521,3.4633,,3.07656,0.737946,5,,,
